Bis, The End Starts Today
Danny Elfman, Ball &amp; Socket Lounge Music #2
They Might Be Giants, Shoehorn With Teeth
Cake, Stickshifts and Safetybelts
The Breeders, New Year
Rockpile, Now and Always
Robert Gordon, All By Myself
King Biscuit Boy, Badly Bent
Los Straitjackets, Galaxy Drive
X, Blue Spark
Autogramm, Diana
Steve Earle, Satellite Radio
Jethro Tull, Cat's Squirrel
The Clash, The Right Profile
Lew Lewis, Wait
Garbage, Bad Boyfriend ('23 Remix)
Frank Zappa, Dirty Love
David Bowie, Red Sails
Social Distortion, Ring of Fire
The J. Geils Band, It Ain't What You Do (It's How You Do It!)
AC/DC, Have A Drink On Me
Monty Python, Crunchy Frog
Jim's Big Ego, Stress
The Dead Milkmen, Big Lizard In My Backyard
The Dickies, Make It So
Captain Tractor, #3 Roxburgh Street
Worriers, Power Pop Mixtape
The Dollyrots, American Girl
Cheap Trick, Dream Police
The Dreaded Laramie, Tell Me
The Replacements, Left Of The Dial
Kurt Vile &amp; The Violators, Guns of Brixton
The Ramones, Sheena Is A Punk Rocker [Single Version]
The Ducky Boys, Break Me
The Clash, I Fought the Law [Live]
Gogol Bordello, Immigrant Punk (Demo)
Dropkick Murphys, World Full of Hate
The Killigans, Martyrs Of The Lower Middle Class
Flatfoot 56, Standin For Nothing
Frank Turner, Haven't Been Doing So Well
Hanson Brothers, Tranquil
Hypernova, Viva La Resistance
Relient K, Doctor Worm
The Gaslight Anthem, We Came to Dance
The Hold Steady, Constructive Summer
The Lawrence Arms, Fireflies
Laura Jane Grace &amp; the Devouring Mothers, Apocalypse Now (&amp; Later)
Bad Cop/Bad Cop, Like, Seriously?
The Mountain Goats, Damn These Vampires
Pixies, Greens and Blues
The Cure, Letter to Elise
The Rheostatics, King of the Past
The Weakerthans, Sun In An Empty Room
Stars, In Our Bedroom After the War
David Bowie, Life On Mars?
Pink Floyd, Brain Damage / Eclipse
Liquid Liquid, Cavern
Peter Gabriel, Shock The Monkey
Field Music, On the Other Side
Paul McCartney, Temporary Secretary
Genesis, No Reply At All
KMRU, stitch
Love &amp; Rockets, Everybody Wants To Go To Heaven
Shona Laing, Soviet Snow
Cold Cave, Hourglass
Revenge, Big Bang
KMRU, mago
Sinéad O'Connor, Mandinka
The Go-Go's, You Thought
KEELEY, Last Words
The Mekons, Ghosts Of American Astronauts
KMRU, cine
The Korgis, Everybody's Gotta Learn Sometime
The Blue Nile, Headlights on the Parade
Bear of Bombay, In Dreams (ft. Rev Rev Rev)
The Passions, I'm in Love With a German Film Star
KMRU, tend
Cactus World News, Years Later
O Positive, Up, Up, Up
Vision Video, Living Dead
Sad Lovers And Giants, Colourless Dream
KMRU, over a placid river
Teenage Fanclub, Neil Jung
Mt. Misery, Movies
Matthew Sweet, Don't Go
Redd Kross, Lady in the Front Row
KMRU, lattice
Muzak, Sara
Greg Freeman, Long Distance Driver (feat. Merce Lemon) [Acoustic]
Anne Malin, The Saint
Throwing Muses, Drugstore Drastic
Kim Deal, A Good Time Pushed
Taxidermists, Shipwrecked
Still Life Sounds, Frame
Chris Lee-Rodriguez, SKUNK!
Du Vide, Cherry Coke
Mediocre, Fun Time Fix (We Go Go)
fantasy of a broken heart, Found You Again (feat. Jordana)
Peaer, Just Because
knitting, Sleeper
22° Halo, Cobwebs
sunshy, Hyacinth
Hotline TNT, 4 Shadow
Slow Fiction, Brother
Scarlet House, Let Go
YHWH Nailgun, Penetrator
Edith Frost, Hold On
Sun June, 41 Dollars
Hank Heaven, Matchstick
Horsegirl, 2468
After, The Story
some fear, Skin I Can't Peel
Kettle, Unchanged
dog eyes, joy
Anna McClellan, Like a Painting
Daneshevskaya, Scrooge
Safety Trance &amp; Dorian Electra, On 1
Addison Rae &amp; Arca, Aquamarine / Arcamarine
roro, 100X100
Or:la &amp; Eliza Rose, Slay The Beast
Shanti Celeste, Ice Cream Dream Boy (Saoirse's Soft Serve Remix)
CCL, Plot Twist
Monaco &amp; Povoa, Denim (feat. Maleigh Zan)
Little Eva, Let's Turkey Trot
Elvis Costello, Welcome To The Working Week
Adam &amp; The Ants, Stand and Deliver
Dinosaur Jr., Just Like Heaven
Lady Pills, Sink the Ship
Courtney Barnett, Pedestrian at Best
Programmique, Desire Reiteration
Speedy Ortiz, Basketball
Sadie and the Ladies, Let Us Make You Money
Dehd, Mr. Grieves
PyPy, Lonely Striped Sock
Astral Bitch, Haunting You
Amyl and The Sniffers, Hertz
Frankie and the Witch Fingers, I Candy
Neutrals, Personal Computing
illuminati hotties,Sad13, What's The Fuzz
SPRINTS, Feast
Alien Nosejob, Trapped in Time
Ladyhawk, You Read My Mind
Noun, Wanted
Miracle Debt, Lurking Toward
Marbled Eye, Wear Me Down
High Vis, Fill the Gap
Artificial Go, Reality Does
Scuba Cop, Decide To Hide
Smaris, Marble Orchard
Workers Comp, High On The Job
Former Mormon, Fragility
Bloodstains, Stray Bullets
Djunah, Mirrors For Narcissists
Charley Bliss, Glitter
Shirise, Mellow Rise Hill Rd
Heavy Lag, Time Was Never On My Side
Rotura, En El Tiempo
Shipping News, Morays Or Demon
The Cure, Grinding Halt
Foo Fighters, Down In The Park
Talking Heads, Life During Wartime
Ramones, I Wanna Be Sedated
XTC, Take this Town
The Cars, Dangerous Type
Letters to Cleo, Awake
Josie and the Pussycats, Pretend to Be Nice
Nick Lowe, Cruel to Be Kind
Josie and the Pussycats, Shapeshifter
Cheap Trick, I Want You to Want Me (Live: April 28, 1978)
Letters To Cleo, 4 Leaf Clover
Cadence Weapon, Surreal
Zomby, Fuck Mixing, Let's Dance
Seba, Air
Chloé Caillet, Sugar
EPROM, Thank You, Dream Girl
Alex Reed, Hit 'Em Dreamgrl
Pat Fleet, pat fleet drop (telephone)
Don Caballero, June Is Finally Here
Yesness, Your Reverb Is Showing
illuminati hotties, December
Sade Adu, Young Lion
The Magnetic Fields, Absolutely Cuckoo
Amyl and the Sniffers, Going Somewhere
Kendrick Lamar, Not Like Us
Kendrick Lamar, squabble up
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
Charlie Chaplin, Speech From “The Great Dictator”
Garbage, Bleed Like Me (acoustic)
The Cure, Endsong
The Pretenders, Time The Avenger
The Fixx, Saved By Zero
Fencer, All I Do
Fishbone, RxPxOxS
Public Image Ltd, Rise
Porno For Pyros, Tahitian Moon
Jack White, You Got Me Searching
Black Keys, Sin City
Jack Kays, Sleep When I'm Dead
Guns &amp; Roses, Mr Brownstone
Dash Rip Rock, Let's Go Smoke Some Pot
Tai Verdes, Drugs
THOT Squad, Hoes Depressed
Body Count ft David Gilmour, Comfortably Numb
Skating Polly, I'm Sorry For Always Apologizing
Nine Inch Nails, March Of The Pigs
Thin Lizzy, Jailbreak (live)
AC-DC, Jailbreak (live)
The Rolling Stones, When The Whip Comes Down (live)
The Doors, Gloria (live)
The Linda Linda's, Resolution Revolution
The Linda Linda's, No Obligation
Fozzie, America
ABBA, Dancing Queen
Fleetwood Mac, Go Your Own Way (Single Version)
Neil Diamond, Cherry, Cherry (Single Version)
Crosby, Stills, Nash &amp; Young, Woodstock
The McCoys, Hang On Sloopy
Friend &amp; Lover, Reach Out of the Darkness
KC and the Sunshine Band, Get Down Tonight
McFadden &amp; Whitehead, Ain't No Stoppin' Us Now
Bee Gees, You Should Be Dancing
Thelma Houston, Don't Leave Me This Way
Tom Jones, It's Not Unusual (Single)
Smash, Bootysitition (Destiny's Child vs Stevie Wonder)
Andrea True Connection, More, More, More
The Pointer Sisters, Jump (For My Love)
Earth, Wind &amp; Fire, September
A Taste of Honey, Boogie Oogie Oogie (Single Version 2)
Patrick Cowley, Megatron Man (Radio Edit)
John Paul Young, Love Is In The Air
The Moody Blues, Your Wildest Dreams
The Rolling Stones, Gimme Shelter
Murray Head, Bangkok / One Night In Bangkok
Partners In Kryme, Turtle Power
Adriano Celentano, Prisencolinensinainciusol
Backstreet Boys, Everybody (Backstreet's Back)
The Dandy Warhols, We Used to Be Friends
The High Decibels, Miss Cindy
Das Racist &amp; Heems, Combination Pizza Hut and Taco Bell
Miss Eaves, 3 Jobs
Basement Jaxx, Where's Your Head At (Radio Edit)
Prince &amp; The Revolution, America
Eddie Murphy, Party All The Time (+3 dB)
Beastie Boys, Super Disco Breakin'
The Beatnuts, Watch Out Now (feat. Yellaklaw) (Amended)
Black Star, Definition (Radio Friendly Version)
Deltron 3030, Positive Contact
808 State, Spanish Heart (feat. Bernard Sumner)
King Princess, Tough On Myself
Greg Freeman, Long Distance Driver (feat. Merce Lemon) [Acoustic]
Anne Malin, The Saint
Throwing Muses, Drugstore Drastic
Kim Deal, A Good Time Pushed
Taxidermists, Shipwrecked
Still Life Sounds, Frame
Chris Lee-Rodriguez, SKUNK!
Du Vide, Cherry Coke
Mediocre, Fun Time Fix (We Go Go)
fantasy of a broken heart, Found You Again (feat. Jordana)
Peaer, Just Because
knitting, Sleeper
22° Halo, Cobwebs
sunshy, Hyacinth
Hotline TNT, 4 Shadow
Slow Fiction, Brother
Scarlet House, Let Go
YHWH Nailgun, Penetrator
Edith Frost, Hold On
Sun June, 41 Dollars
Hank Heaven, Matchstick
Horsegirl, 2468
After, The Story
some fear, Skin I Can't Peel
Kettle, Unchanged
dog eyes, joy
Anna McClellan, Like a Painting
Daneshevskaya, Scrooge
Six Sex, U&amp;ME
Safety Trance &amp; Dorian Electra, On 1
Addison Rae &amp; Arca, Aquamarine / Arcamarine
roro, 100X100
Or:la &amp; Eliza Rose, Slay The Beast
Shanti Celeste, Ice Cream Dream Boy (Saoirse's Soft Serve Remix)
CCL, Plot Twist
Monaco &amp; Povoa, Denim (feat. Maleigh Zan)
Maxband, Underground
Little Eva, Let's Turkey Trot
Elvis Costello, Welcome To The Working Week
Adam &amp; The Ants, Stand and Deliver
Dinosaur Jr., Just Like Heaven
Lady Pills, Sink the Ship
Courtney Barnett, Pedestrian at Best
Programmique, Desire Reiteration
Speedy Ortiz, Basketball
Sadie and the Ladies, Let Us Make You Money
Dehd, Mr. Grieves
PyPy, Lonely Striped Sock
Astral Bitch, Haunting You
Amyl and The Sniffers, Hertz
Frankie and the Witch Fingers, I Candy
Neutrals, Personal Computing
illuminati hotties,Sad13, What's The Fuzz
SPRINTS, Feast
Alien Nosejob, Trapped in Time
Ladyhawk, You Read My Mind
The The, Cognitive Dissident
Arab Strap, You're Not There
John Grant, It's A Bit... Disconcerting
Humanist feat. Peter Hayes, Born To Be
Lord Buffalo, Cracks in the Vermeer
Georgia Gets By, Madeline
Six Organs Of Admittance, Slip Away
Bill Callahan, Everyway
Mick Harvey, Alone with the Stars
The Dead Tongues, Moonshadow
Bodies of Water, White Light
Express Therapy, Say Goodbye
John Cale, Calling You Out
Mdou Moctar, Djallo #1
Chromatics, Shadow (Runaway Instrumental)
The Midnight, America Online (Instrumental)
Andreas Vollenweider, Belladonna
Yanni, Looking Glass
Vangelis, Message
The Sven Libaek Orchestra, Walkthrough
Dan Deacon, Bumble Bee Crown King
Mike Oldfield, Taurus 1
Ryuichi Sakamoto, The Last Emperor
Brian Wilson, Surfs Up
Víkingur Ólafsson, Études: No. 20
Max Richter, On the Nature of Daylight (Piano Version)
Jean-Michel Blais, CFCF, In a Landscape (Rework)
Angelo Badalamenti, Twin Peaks Theme
Masato Nakamura, Sth1 Special Stage (Mega Drive Version)
Sebastian Gaskin, Cherie Amour
Link Wray &amp; The Wraymen, Rumble
Natasha Fisher, The View
Aysanabee &amp; Ruby Waters, Video Games
Silkroad Ensemble &amp; Rhiannon Giddens, Swannanoa Tunnel / Steel-Driving Man
Shawnee Kish, Dear Dad
Lancelot Knight &amp; LILI, Six Under Water
Twin Flames, House of the Rising Sun
T H R O N E, Protagonist &amp; Sedona, Boys
TALON, They Can't Compete
Nataanii Means, The Come Up
Big Tones, Don't Cry
DJ Shub, Half Breed (Remix)
Wolf Saga, Get Back
Liv Wade, Slow Motion
William Prince, Bloom (OurVinyl Sessions)
Joy Harjo, Remember
Whitehorse, Sweet Surrender
Samantha Crain, Dragonfly
Ruby Waters, Adult Swim
Jayli Wolf, Shadow Song
Wayne Lavallee, Buffalo Soldier
Las Cafeteras, Georgia on My Mind (feat. QVLN &amp; Sergio Mendoza)
Mumu Fresh, Be Easy (Terry Hunter Club Mix)
OMBIIGIZI, Street Names and Land Claims
Natasha Fisher, Push And Pull
Celeigh Cardinal, Show You How to Love Me
Sierra Spirit, creep
Burnstick, Hands Tied
Saltwater Hank, Xgap'isgu
Carsen Gray, This Little Light
The Smiths, Work Is A Four-Letter Word
Kirsty MacColl, You Just Haven't Earned It yet, Baby
The Jam, That's Entertainment
The Style Council, Shout to the Top (Single Edit)
The Sundays, Here's Where the Story Ends
Edie Brickell &amp; New Bohemians, What I Am
Paul Simon, Me and Julio Down By the Schoolyard
Phil Collins, Sussudio
B-52's, Rock Lobster
They Might Be Giants, Birdhouse In Your Soul
Cure, Why Can't I Be You?
New Order, Confusion
The Creatures, Right Now
Concrete Blonde, Bloodletting (the Vampire song)
The Heads &amp; Johnette Napolitano, Damage I've Done
Throwing Muses, Counting Backwards
U2, Like a Song
U2, Out of Control
Led Zeppelin, Over the Hills and Far Away
Beastie Boys, Rhymin' &amp; Stealin'
The Sweater Song, Undone
The Neighbourhood, Sweater Weather
The Arcade Fire, Neighborhood #3 (Power Out)
The Cardigans, My Favourite Game
Depeche Mode, A Question of Time
Al Green, Everybody Hurts
Gregtronic, Greg Wymer
THUMPER, Unwritten
Quiet Riot, Cum On Feel the Noize
Brandi Carlile, The Chain
Tina Turner, Whole Lotta Love
Rita Ora, We Don't Need Another Hero (Thunderdome)
Waxx &amp; Ben l'Oncle Soul, Black or White
Head Automatica, Pulling Muscles (From a Shell)
Dubmatix, Anarchy in the U.K. (feat. Prince Blanco)
1969, Let's Celebrate the Biggest Covers From 1955
Pérez Prado and His Orchestra, Cherry Pink and Apple Blossom White
Nine Inch Elvis, Heartbreak Hotel
Camp Claude, All Shook Up
Dean Martin, Volare
Les Claypool's Duo de Twang, Battle of New Orleans
Liberace, Theme From A Summer Place
The Replacements, Tossin' n' Turnin'
Booker T. &amp; The M.G.'s, Stranger on the Shore
The Great Gonzo and Rizzo the Rat, Sugar Shack
Melvins, I Want to Hold Your Hand
Big Fat Panda, Wooly Bully (live)
Dolly Parton, Ballad of the Green Beret
10,000 Maniacs &amp; Michael Stipe, To Sir With Love (live)
MajorVsMinor, Hey Jude
Debbie Downer and The Mascara Stains, Sugar Sugar
PJ Harvey &amp; Tim Phillips, Love Will Tear Us Apart
Willie &amp; The Bandits, Money For Nothing
Tyrone Wells, You Make My Dreams Come True
Sturgill Simpson, The Promise
Walt Ribeiro, Adam Sandler 'The Thanksgiving Song' for Orchestra
Cocteau Twins, Heaven or Las Vegas
Orville Peck, Turn to Hate
Alice In Chains, I Stay Away
Chris Cornell, Seasons
Daft Punk, Motherboard
Yo La Tengo, Moby Octopad
Blue Öyster Cult, Burnin' for You
Trans-Siberian Orchestra, Wizards In Winter (Instrumental)
Catherine Wheel, Waydown
Frank Black, Headache
Public Body, Reset My Password
Pinch Points, Reasons to Be Anxious
Mogwai, Ceiling Granny
R.E.M., Radio Free Europe
New Order, Love Vigilantes
Marshall Crenshaw, Someday, Someway
Nick Lowe, So It Goes
Tom Petty &amp; The Heartbreakers, Don't Do Me Like That
U2, Seconds
Violent Femmes, Kiss Off
Berlin, The Metro (Acoustic)
10,000 Maniacs, Planned Obsolescence
Echo &amp; The Bunnymen, Bring On the Dancing Horses
Meat Puppets, Lake of Fire
Sapling, Bitchshifter
Hilken Mancini &amp; Chris Colbourn, I Will Die
The Folk Implosion, Don’t Give It Away
Night Sins, Violet Age
Joy Division, Dead Souls
Arcade Fire, Keep The Car Running
Beck, Beercan
James, Ya Ho
The Smiths, Work Is A Four-Letter Word
Kirsty MacColl, You Just Haven't Earned It yet, Baby
The Jam, That's Entertainment
The Style Council, Shout to the Top (Single Edit)
The Sundays, Here's Where the Story Ends
Edie Brickell &amp; New Bohemians, What I Am
Paul Simon, Me and Julio Down By the Schoolyard
Phil Collins, Sussudio
The Sugarcubes, Hit
B-52's, Rock Lobster
They Might Be Giants, Birdhouse In Your Soul
Cure, Why Can't I Be You?
Joy Division, Shadowplay
New Order, Confusion
The Creatures, Right Now
Concrete Blonde, Bloodletting (the Vampire song)
The Heads &amp; Johnette Napolitano, Damage I've Done
Throwing Muses, Counting Backwards
Joe Jackson, Got the Time
U2, Like a Song
U2, Out of Control
Led Zeppelin, Over the Hills and Far Away
Beastie Boys, Rhymin' &amp; Stealin'
The Sweater Song, Undone
The Neighbourhood, Sweater Weather
The Arcade Fire, Neighborhood #3 (Power Out)
The Cardigans, My Favourite Game
Depeche Mode, A Question of Time
Liquid Liquid, Cavern
Peter Gabriel, Shock The Monkey
Field Music, On the Other Side
Paul McCartney, Temporary Secretary
Genesis, No Reply At All
KMRU, stitch
Love &amp; Rockets, Everybody Wants To Go To Heaven
Shona Laing, Soviet Snow
Cold Cave, Hourglass
Revenge, Big Bang
KMRU, mago
Sinéad O'Connor, Mandinka
The Go-Go's, You Thought
KEELEY, Last Words
The Mekons, Ghosts Of American Astronauts
KMRU, cine
The Korgis, Everybody's Gotta Learn Sometime
The Blue Nile, Headlights on the Parade
Bear of Bombay, In Dreams (ft. Rev Rev Rev)
The Passions, I'm in Love With a German Film Star
KMRU, tend
Cactus World News, Years Later
O Positive, Up, Up, Up
Vision Video, Living Dead
Sad Lovers And Giants, Colourless Dream
KMRU, over a placid river
Teenage Fanclub, Neil Jung
Mt. Misery, Movies
Matthew Sweet, Don't Go
Redd Kross, Lady in the Front Row
KMRU, lattice
Muzak, Sara
Peter Murphy, Cuts You Up
Cocteau Twins, Cherry-Coloured Funk
Portishead, Wandering Star
Think Tree, Hire A Bird
The B-52's, Dance This Mess Around
Siouxsie &amp; The Banshees, Christine
Joy Division, These Days
The Stone Roses, Waterfall
The Feelies, Original Love
R.E.M., Texarkana
Ultravox, The Wild, the Beautiful &amp; the Damned
Oceanator, The Sky Is Falling
Pixies, Bird Dream Of The Olympus Mons
The Police, Wrapped Around Your Finger
Rupert Hine, Arrested By You
Sananda Maitreya, Sign Your Name
Lionel Richie, Running with the Night
A Flock of Seagulls, Wishing (If I Had a Photograph of You)
Whitney Houston, It's Not Right But It's Okay (Thunderpuss Radio Mix)
Das Racist &amp; Heems, Combination Pizza Hut and Taco Bell
Miss Eaves, 3 Jobs
Ariana Grande, Break Free (feat. Zedd)
Lady Gaga, The Edge Of Glory
LCD Soundsystem, Tribulations
Kylie Minogue, Can't Get Blue Monday Out Of My Head
Tiffany, I Think We're Alone Now
Samantha Fox, I Wanna Have Some Fun
Iggy &amp; The Stooges / Salt-N-Pepa, No Fun / Push It
Liz Phair, Supernova
Curve, I Feel Love
DYAN, Looking For Knives
Al Green, Everybody Hurts
Gregtronic, Greg Wymer
THUMPER, Unwritten
Quiet Riot, Cum On Feel the Noize
Brandi Carlile, The Chain
Tina Turner, Whole Lotta Love
Rita Ora, We Don't Need Another Hero (Thunderdome)
Waxx &amp; Ben l'Oncle Soul, Black or White
Head Automatica, Pulling Muscles (From a Shell)
Dubmatix, Anarchy in the U.K. (feat. Prince Blanco)
1969, Let's Celebrate the Biggest Covers From 1955
Pérez Prado and His Orchestra, Cherry Pink and Apple Blossom White
Nine Inch Elvis, Heartbreak Hotel
Camp Claude, All Shook Up
Dean Martin, Volare
Les Claypool's Duo de Twang, Battle of New Orleans
Liberace, Theme From A Summer Place
The Replacements, Tossin' n' Turnin'
Booker T. &amp; The M.G.'s, Stranger on the Shore
The Great Gonzo and Rizzo the Rat, Sugar Shack
Melvins, I Want to Hold Your Hand
Big Fat Panda, Wooly Bully (live)
Dolly Parton, Ballad of the Green Beret
10,000 Maniacs &amp; Michael Stipe, To Sir With Love (live)
MajorVsMinor, Hey Jude
Debbie Downer and The Mascara Stains, Sugar Sugar
PJ Harvey &amp; Tim Phillips, Love Will Tear Us Apart
Willie &amp; The Bandits, Money For Nothing
Tyrone Wells, You Make My Dreams Come True
Sturgill Simpson, The Promise
Walt Ribeiro, Adam Sandler 'The Thanksgiving Song' for Orchestra
Red Snapper, Hot Flush
Galactic, Witch Doctor
Vince Guaraldi Quintet, Little Birdie
Herbie Hancock, The Naked Camera
The Herbaliser, Worldwide Connected
107th Street Stickball Team, Let Me Do My Thing
